Company Name,Sanctions Program,Country,Risk Details
ISLAMIC MOVEMENT OF UZBEKISTAN,FTO] [SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; a.k.a. 'IMU'."
CAVIEDES DILEO Y CIA. S.C.S.,SDNT,Colombia,NIT # 800113437-2 (Colombia).
INDUSTRIA DE PESCA SOBRE EL PACIFICO S.A,SDNT,Colombia,NIT # 890302172-4 (Colombia).
GALAPAGOS S.A,SDNT,Colombia,NIT # 800183712-2 (Colombia).
NEW IRISH REPUBLICAN ARMY,FTO] [SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; a.k.a. 'RIRA'; a.k.a. 'REAL IRA'; a.k.a. 'NEW IRA'; a.k.a. 'NIRA'."
UNITED SELF-DEFENSE FORCES OF COLOMBIA,SDNTK] [SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
ASBAT AL-ANSAR,FTO] [SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
SALAFIST GROUP FOR CALL AND COMBAT,FTO] [SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
LIBYAN ISLAMIC FIGHTING GROUP,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
AL-ITIHAAD AL-ISLAMIYA,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
ISLAMIC ARMY OF ADEN,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
MAKHTAB AL-KHIDAMAT/AL KIFAH,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
WAFA HUMANITARIAN ORGANIZATION,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
AL RASHID TRUST,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; Operations in Afghanistan: Herat, Jalalabad, Kabul, Kandahar, Mazar Sharif.  Also operations in: Kosovo, Chechnya."
MAMOUN DARKAZANLI IMPORT-EXPORT COMPANY,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
AL-HAMATI SWEETS BAKERIES,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
JAISH-I-MOHAMMED,FTO] [SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
JAM'YAH TA'AWUN AL-ISLAMIA,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
RABITA TRUST,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
AL-AQSA ISLAMIC BANK,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
BEIT EL-MAL HOLDINGS,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
HOLY LAND FOUNDATION FOR RELIEF AND DEVELOPMENT,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; US FEIN 95-4227517; and other locations within the United States."
UMMAH TAMEER E-NAU,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; a.k.a. 'UTN'."
LASHKAR E-TAYYIBA,FTO] [SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; a.k.a. 'JUD'; a.k.a. 'TAJK'; a.k.a. 'MML'; a.k.a. 'THE RESISTANCE FRONT'; a.k.a. 'KASHMIR RESISTANCE'."
CONTINUITY IRA,FTO] [SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; a.k.a. 'CIRA'."
FIRST OF OCTOBER ANTIFASCIST RESISTANCE GROUP,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; a.k.a. 'GRAPO'."
LOYALIST VOLUNTEER FORCE,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; a.k.a. 'LVF'."
ORANGE VOLUNTEERS,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
RED HAND DEFENDERS,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; a.k.a. 'RHD'."
ULSTER DEFENCE ASSOCIATION,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
REVIVAL OF ISLAMIC HERITAGE SOCIETY,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; a.k.a. 'RIHS'; a.k.a. 'ASC'; a.k.a. 'SOCIAL DEVELOPMENT FOUNDATION'; a.k.a. 'AL-FURKAN'; a.k.a. 'AL-FORKAN'; a.k.a. 'MOSASA-TUL-FORQAN'; a.k.a. 'MOASSESA AL-FURQAN'; a.k.a. 'AL MOSUSTA FURQAN'; a.k.a. 'AL-MOSASATUL FURQAN'; a.k.a. 'JAMIAT AL-FURQAN'; a.k.a. 'HITRAS'."
ACCESOS ELECTRONICOS S.A.DE C.V.,SDNTK,,
"ADMINISTRADORA DE INMUEBLES VIDA, S.A. DE C.V.",SDNTK,,
"ADP, S.C.",SDNTK,,
"COMPLEJO TURISTICO OASIS, S.A. DE C.V.",SDNTK,,
"DISTRIBUIDORA IMPERIAL DE BAJA CALIFORNIA, S.A. DE C.V.",SDNTK,Mexico,R.F.C. DIB-771110-HQ1 (Mexico).
"FARMACIA VIDA SUPREMA, S.A. DE C.V.",SDNTK,Mexico,R.F.C. FVS-870610-LX3 (Mexico).
"FORPRES, S.C.",SDNTK,,
GEX EXPLORE S. DE R.L. DE C.V.,SDNTK,,
"OPERADORA VALPARK, S.A. DE C.V.",SDNTK,,
"VALPARK, S.A. DE C.V.",SDNTK,,
AL-HARAMAIN ISLAMIC FOUNDATION,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
AL-AQSA MARTYRS BRIGADE,FTO] [SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
THE AID ORGANIZATION OF THE ULEMA,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; Operations in Afghanistan: Herat, Jalalabad, Kabul, Kandahar, Mazar Sharif; Also operations in: Kosovo,Chechnya."
ASKATASUNA,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
BABBAR KHALSA INTERNATIONAL,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
INTERNATIONAL SIKH YOUTH FEDERATION,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; a.k.a. 'ISYF'."
NEW PEOPLE'S ARMY / COMMUNIST PARTY OF THE PHILIPPINES,FTO] [SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; a.k.a. 'CPP'; a.k.a. 'NPP/CPP'."
EASTERN TURKISTAN ISLAMIC MOVEMENT,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
TUNISIAN COMBAT GROUP,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; a.k.a. 'JCT'."
"GLOBAL RELIEF FOUNDATION, INC.",SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; US FEIN 36-3804626."
"GLOBAL RELIEF FOUNDATION, INC.",SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; V.A.T. Number BE 454,419,759; a.k.a. 'FSM'."
JEMAA ISLAMIYAH,FTO] [SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; founded by Abdullah Sungkar; a.k.a. 'JI'."
AGRICOLA DOIMA DEL NORTE DEL VALLE LTDA.,SDNT,Colombia,NIT # 800144713-3 (Colombia).
AGROPECUARIA MIRALINDO S.A.,SDNT,Colombia,NIT # 836000446-4 (Colombia).
ARIZONA S.A.,SDNT,Colombia,NIT # 836000489-0 (Colombia).
GANADERIA EL VERGEL LTDA.,SDNT,Colombia,NIT # 800146295-5 (Colombia).
GANADERIAS BILBAO LTDA.,SDNT,Colombia,NIT # 800146290-9 (Colombia).
INMOBILIARIA EL ESCORIAL LTDA.,SDNT,Colombia,NIT # 800146869-2 (Colombia).
INMOBILIARIA LINARES LTDA.,SDNT,Colombia,NIT # 800146860-7 (Colombia).
INMOBILIARIA PASADENA LTDA.,SDNT,Colombia,NIT # 800146861-4 (Colombia).
INVERSIONES LA QUINTA Y CIA. LTDA.,SDNT,Colombia,NIT # 800160387-2 (Colombia).
LADRILLERA LA CANDELARIA LTDA.,SDNT,Colombia,NIT # 800119741-4 (Colombia).
MONTOYA LUNA E HIJOS Y CIA. S.C.S.,SDNT,Colombia,NIT # 800077316-5 (Colombia).
ORGANIZACION LUIS HERNANDO GOMEZ BUSTAMANTE Y CIA S.C.S.,SDNT,Colombia,NIT # 800140477-1 (Colombia).
VISCAYA LTDA.,SDNT,Colombia,NIT # 800054357-8 (Colombia).
BENEVOLENCE INTERNATIONAL FOUNDATION,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; US FEIN 36-3823186; a.k.a. 'BIF'."
BENEVOLENCE INTERNATIONAL FUND,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
BOSANSKA IDEALNA FUTURA,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
MOROCCAN ISLAMIC COMBATANT GROUP,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
LAJNAT AL DAAWA AL ISLAMIYYA,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
STICHTING BENEVOLENCE INTERNATIONAL NEDERLAND,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; Registration ID 14063277."
LASHKAR I JHANGVI,FTO] [SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; a.k.a. 'LJ'."
ANSAR AL-ISLAM,FTO] [SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; a.k.a. 'DEVOTEES OF ISLAM'; a.k.a. 'FOLLOWERS OF ISLAM IN KURDISTAN'; a.k.a. 'KURDISTAN SUPPORTERS OF ISLAM'; a.k.a. 'SOLDIERS OF ISLAM'; a.k.a. 'KURDISH TALIBAN'; a.k.a. 'SOLDIERS OF GOD'; a.k.a. 'SUPPORTERS OF ISLAM IN KURDISTAN'; a.k.a. 'HELPERS OF ISLAM'; a.k.a. 'PARTISANS OF ISLAM'."
THE RIYADUS-SALIKHIN RECONNAISSANCE AND SABOTAGE BATTALION OF CHECHEN MARTYRS,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
THE SPECIAL PURPOSE ISLAMIC REGIMENT,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
THE ISLAMIC INTERNATIONAL BRIGADE,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
BANANERA AGRICOLA S.A.,SDNT,Colombia,NIT # 800142651-6 (Colombia).
CIA. MINERA DAPA S.A.,SDNT,Colombia,NIT # 800181373-1 (Colombia).
COMPANIA DE FOMENTO MERCANTIL S.A.,SDNT,Colombia,NIT # 800124589-0 (Colombia).
CONSTRUCCIONES PROGRESO DEL PUERTO S.A.,SDNT,Colombia,NIT # 817000779-2 (Colombia).
CREDISA S.A.,SDNT,Colombia,NIT # 800065773-6 (Colombia).
CRIADERO LA LUISA E.U.,SDNT,Colombia,NIT # 860503330-5 (Colombia).
DRAGADOS Y MUELLES GAVIOTA LTDA.,SDNT,Colombia,NIT # 800173053-4 (Colombia).
GRANJA LA SIERRA LTDA.,SDNT,Colombia,NIT # 800253142-5 (Colombia).
GRAN MUELLE S.A.,SDNT,Colombia,NIT # 800173054-1 (Colombia).
MIRA E.U.,SDNT,Colombia,NIT # 805009267-0 (Colombia).
OCCIDENTAL DE PAPELES LTDA.,SDNT,Colombia,NIT # 805017535-3 (Colombia).
SERVICIO AEREO DE SANTANDER E.U.,SDNT,Colombia,NIT # 800543219-8 (Colombia).
UNIDAS S.A.,SDNT,Colombia,NIT # 800080688-0 (Colombia).
TODOBOLSAS Y COLSOBRES,SDNT,Colombia,NIT # 860053774-1 (Colombia).
